id,name,category,price,condition,college,seller_grade,sales_count,post_date,description,contact
1,高等数学（第七版）,教材,35.0,八成新,计算机学院,大三,12,2024-03-15,同济大学高等数学教材，有少量笔记,QQ:123456789
2,线性代数及其应用,教材,28.0,九成新,经管学院,大二,8,2024-03-20,英文原版，适合双语教学,微信:abc123456
3,C++ Primer Plus,教材,68.0,全新,计算机学院,大四,5,2024-03-18,最新版，未开封,QQ:987654321
4,现代汉语词典,教材,55.0,七成新,文学院,大一,15,2024-03-10,第7版，有使用痕迹,微信:xiaoming2024
5,考研英语真题解析,教材,45.0,八成新,外语学院,大三,20,2024-03-08,2019-2023年真题,QQ:246813579
6,电饭煲,电器,120.0,八成新,化工学院,大二,6,2024-03-12,3L容量，功能正常,微信:diangua123
7,台灯,电器,45.0,九成新,材料学院,大一,18,2024-03-16,LED护眼灯，三档调光,QQ:567890123
8,笔记本电脑,数码,2800.0,七成新,计算机学院,大四,3,2024-03-22,联想ThinkPad，8G内存，256G固态,微信:laptop_sell
9,吹风机,电器,35.0,八成新,外国语学院,大二,25,2024-03-05,负离子护发，可折叠,QQ:135792468
10,充电宝,数码,68.0,九成新,自动化学院,大三,14,2024-03-14,20000mAh，支持快充,微信:powerbank2024
11,羽绒服,服装,150.0,八成新,建筑学院,大二,7,2024-03-11,波司登品牌，M码，保暖性好,QQ:456789012
12,牛仔裤,服装,45.0,九成新,机械学院,大一,16,2024-03-19,李维斯，30码，版型修身,微信:jeans_seller
13,运动外套,服装,85.0,八成新,体育学院,大三,9,2024-03-07,耐克品牌，透气面料,QQ:246801357
14,皮鞋,服装,120.0,九成新,法学院,大四,4,2024-03-21,商务休闲款，42码,微信:shoe_buy
15,卫衣,服装,65.0,全新,艺术学院,大一,11,2024-03-09,优衣库，连帽款，L码,QQ:876543210
16,数据结构与算法分析,教材,52.0,八成新,计算机学院,大二,13,2024-03-17,CLRS经典教材，有重点标注,微信:datastruct123
17,大学物理实验指导,教材,22.0,九成新,理学院,大二,22,2024-03-06,配套实验课程使用，无笔记,QQ:369258147
18,无线鼠标,数码,38.0,全新,软件学院,大三,19,2024-03-13,罗技品牌，静音设计，无线连接,微信:mouse_wireless
19,蓝牙耳机,数码,89.0,八成新,信息学院,大二,8,2024-03-23,小米Air2，续航持久，音质好,QQ:975310864
20,西装套装,服装,280.0,九成新,经管学院,大四,2,2024-03-24,正装面试必备，修身款，藏青色,微信:suit_sell
21,Python编程从入门到实践,教材,49.0,八成新,计算机学院,大一,25,2024-03-04,零基础入门首选，有练习笔记,QQ:python_learn
22,经济学原理,教材,65.0,七成新,经管学院,大二,10,2024-03-03,曼昆经典教材，宏观经济学部分,微信:econ_principle
23,路由器,数码,99.0,九成新,网络学院,大三,5,2024-03-02,TP-Link，千兆双频，信号稳定,QQ:router_tplink
24,行李箱,箱包,180.0,八成新,航空学院,大四,6,2024-03-25,28寸，万向轮，扩展层设计,微信:luggage_bag
25,毛衣,服装,75.0,全新,人文学院,大一,12,2024-03-26,羊毛混纺，保暖舒适，米色,QQ:sweater_warm
26,四六级词汇书,教材,32.0,八成新,外语学院,大二,17,2024-03-27,新东方绿皮书，有记忆技巧标注,微信:vocab_book
27,显示器,数码,580.0,九成新,计算机学院,大三,4,2024-03-28,24寸IPS屏，144Hz刷新率,QQ:monitor_gaming
28,打印机,电器,320.0,八成新,设计院,大四,3,2024-03-29,惠普激光打印机，打印清晰,微信:printer_hp
29,书架,家具,150.0,九成新,文学院,大二,8,2024-03-30,木质书架，五层，组装简单,QQ:bookshelf_wood
30,椅子,家具,85.0,八成新,化工学院,大一,11,2024-04-01,人体工学椅，可调节高度,微信:chair_ergonomic
31,运动跑鞋,鞋靴,220.0,八成新,体育学院,大三,6,2024-04-02,耐克Air系列，42码，气垫完好,QQ:running_shoes
32,篮球,运动器材,65.0,九成新,体育学院,大二,13,2024-04-03,斯伯丁正品，手感好,微信:basketball_spalding
33,吉他,乐器,450.0,八成新,艺术学院,大四,2,2024-04-04,雅马哈F310，送吉他包,QQ:guitar_yamaha
34,尤克里里,乐器,180.0,九成新,艺术学院,大一,7,2024-04-05,23寸，音色明亮,微信:ukulele_cute
35,平板支架,数码配件,35.0,全新,信息学院,大二,16,2024-04-06,可调节角度，稳固耐用,QQ:tablet_stand
36,键盘,数码配件,89.0,九成新,软件学院,大三,9,2024-04-07,机械键盘，青轴，背光设计,微信:keyboard_mech
37,鼠标垫,数码配件,25.0,全新,计算机学院,大一,21,2024-04-08,超大尺寸，电竞风格,QQ:mousepad_large
38,保温杯,日用品,45.0,九成新,化工学院,大二,14,2024-04-09,膳魔师，500ml，保温效果好,微信:thermos_cup
39,雨伞,日用品,35.0,全新,建筑学院,大一,18,2024-04-10,全自动折叠伞，晴雨两用,QQ:umbrella_auto
40,收纳盒,日用品,28.0,九成新,经管学院,大三,12,2024-04-11,塑料收纳盒套装，多个尺寸,微信:storage_box
41,考研政治大纲解析,教材,55.0,全新,马克思主义学院,大三,23,2024-04-12,2024年最新版，未开封,QQ:politics_kaoyan
42,英语口语教程,教材,38.0,八成新,外语学院,大二,10,2024-04-13,剑桥国际英语教程，附音频,微信:english_speak
43,台式电脑主机,数码,1800.0,七成新,计算机学院,大四,2,2024-04-14,i5-10400F，GTX1660显卡,QQ:pc_desktop
44,摄像头,数码,120.0,九成新,传媒学院,大三,5,2024-04-15,罗技C920，1080P高清,微信:camera_logitech
45,麦克风,数码,150.0,八成新,传媒学院,大二,4,2024-04-16,电容麦克风，适合直播录音,QQ:mic_recording
46,台灯,电器,55.0,全新,理学院,大一,20,2024-04-17,飞利浦护眼灯，四档色温调节,微信:lamp_philips
47,电热水壶,电器,68.0,九成新,化工学院,大三,8,2024-04-18,美的品牌，1.7L容量,QQ:kettle_midea
48,电磁炉,电器,180.0,八成新,材料学院,大二,3,2024-04-19,九阳品牌，多功能菜单,微信:induction_joyoung
49,微波炉,电器,350.0,七成新,外国语学院,大四,2,2024-04-20,格兰仕品牌，平板加热,QQ:microwave_ga
50,显示器支架,数码配件,120.0,九成新,软件学院,大三,6,2024-04-21,可升降旋转，节省桌面空间,微信:monitor_arm
